Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Roserade,Grass,Poison,515,60,70,65,125,105,90,4,False
Panpour,Water,,316,50,53,48,53,48,64,5,False
Haxorus,Dragon,,540,76,147,90,60,70,97,5,False
Torchic,Fire,,310,45,60,40,70,50,45,3,False
Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False
Beheeyem,Psychic,,485,75,75,75,125,95,40,5,False
Druddigon,Dragon,,485,77,120,90,60,90,48,5,False
Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,True
Psyduck,Water,,320,50,52,48,65,50,55,1,False
Eevee,Normal,,325,55,55,50,45,65,55,1,False
Yamask,Ghost,,303,38,30,85,55,65,30,5,False
Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False
Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,False
TornadusIncarnate Forme,Flying,,580,79,115,70,125,80,111,5,True
Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False
Kingler,Water,,475,55,130,115,50,50,75,1,False
GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,True
Pineco,Bug,,290,50,65,90,35,35,15,2,False
Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True
Natu,Psychic,Flying,320,40,50,45,70,45,70,2,False
Karrablast,Bug,,315,50,75,45,40,45,60,5,False
Beartic,Ice,,485,95,110,80,70,80,50,5,False
Shinx,Electric,,263,45,65,34,40,34,45,4,False
Abra,Psychic,,310,25,20,15,105,55,90,1,False
GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
Riolu,Fighting,,285,40,70,40,35,40,60,4,False
Lotad,Water,Grass,220,40,30,30,40,50,30,3,False
Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,False
ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,True
Tyrogue,Fighting,,210,35,35,35,35,35,35,2,False
Simisear,Fire,,498,75,98,63,98,63,101,5,False
Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,False
Feraligatr,Water,,530,85,105,100,79,83,78,2,False
Porygon2,Normal,,515,85,80,90,105,95,60,2,False
Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False
Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,False
Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False
Deerling,Normal,Grass,335,60,60,50,40,50,75,5,False
Phantump,Ghost,Grass,309,43,70,48,50,60,38,6,False
Arbok,Poison,,438,60,85,69,65,79,80,1,False
BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,False
Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False
